Year,Semester,Course,Credits
First Year,Fall,ASTRO 20,2
First Year,Spring,"ENGL 15,  30H, or ESL  15‡",3
First Year,Fall,MATH 140*‡#†,4
First Year,Spring,MATH 141*‡#†,4
First Year,Fall,CHEM 110*#†,3
First Year,Spring,CHEM 111†,1
First Year,Fall,PHYS 211*#†,4
First Year,Spring,CHEM 112,3
First Year,Fall,General Education Course,3
First Year,Spring,PHYS 212*#†,4
Second Year,Fall,ASTRO 291*#,3
Second Year,Spring,ASTRO 292*,3
Second Year,Fall,MATH 230,4
Second Year,Spring,MATH 251,4
Second Year,Fall,PHYS 213*,2
Second Year,Spring,PHYS 237,3
Second Year,Fall,PHYS 214*,2
Second Year,Spring,"CMPSC 121,  201, or CMPSC 202†",3
Second Year,Fall,"CAS 100, CAS  100A, CAS  100B, or CAS  100C‡",3
Second Year,Spring,General Education Course,3
Third Year,Fall,ASTRO 320,3
Third Year,Spring,ASTRO 400 level selection (consult with an academic adviser for options)*,3
Third Year,Fall,ASTRO 400 level selection (consult with an academic adviser for options)*,3
Third Year,Spring,CMPSC 221,3
Third Year,Fall,CMPSC 122,3
Third Year,Spring,CMPSC 360 or CMPEN  271,3
Third Year,Fall,STAT 300 or 400 level selection (consult with an academic adviser for options),3
Third Year,Spring,ENGL 202C‡†,3
Third Year,Fall,General Education Course,3
Third Year,Spring,General Education Course,3
Fourth Year,Fall,ASTRO 400 level selection (consult with an academic adviser for options)*,3
Fourth Year,Spring,ASTRO 400 level selection (consult with an academic adviser for options)*,3
Fourth Year,Fall,CMPSC 451 or MATH  451,3
Fourth Year,Spring,CMPSC/CMPEN 400 Level selection (consult with an academic adviser for options),3
Fourth Year,Fall,CMPSC 465 or CMPEN  331,3
Fourth Year,Spring,Supporting Course (consult with an academic adviser for options),3
Fourth Year,Fall,Supporting Course (consult with an academic adviser for options),1
Fourth Year,Spring,Supporting Course (consult with an academic adviser for options),3
Fourth Year,Fall,General Education Course,3
Fourth Year,Spring,Supporting Course (consult with an academic adviser for options),3
